Help!	बचाओ!
Jump.	उछलो.
Jump.	कूदो.
Jump.	छलांग.
Hello!	नमस्ते।
Hello!	नमस्कार।
Cheers!	वाह-वाह!
Cheers!	चियर्स!
Got it?	समझे कि नहीं?
I'm OK.	मैं ठीक हूँ।
Awesome!	बहुत बढ़िया!
Come in.	अंदर आ जाओ।
Get out!	बाहर निकल जाओ!
Go away!	चले जाओ!
Goodbye!	ख़ुदा हाफ़िज़।
Perfect!	उत्तम!
Perfect!	सही!
Welcome.	आपका स्वागत है।
Welcome.	स्वागतम्।
Have fun.	मज़े करना।
Have fun.	मौज करना।
Have fun.	मज़े करो।
I forgot.	मैं भूल गया।
I forgot.	मैं भूल गई।
I'll pay.	मैं पैसे दूंगा।
I'm fine.	मैं ठीक हूँ।
I'm full.	मेरा पेट भर गया है।
Let's go!	चलो चलें!
Answer me.	मुझे जवाब दो।
Birds fly.	पंछी उड़ते हैं।
Excuse me.	माफ़ कीजिए।
Fantastic!	बहुत ख़ूब!
I fear so.	खेद की बात है, लेकिन वैसा ही है।
I laughed.	मैं हँसा।
I'm bored.	मैं बोर हो रहा हूँ।
I'm broke.	मेरा दीवालिया हो चुका है।
I'm tired.	मैं थक गया हूँ।
It's cold.	ठंड हो रही है।
Who knows?	कौन जाने?
Who knows?	किसको पता है?
Who knows?	किसे पता है?
Who knows?	किसे मालूम है?
Wonderful!	अद्भुत
Birds sing.	पंछी गाते हैं।
Come on in.	अंदर आ जाओ।
Definitely!	निश्चित ही
Don't move.	हिलो मत।
Fire burns.	आग जलाती है।
Follow him.	उसका पीछा करो।
I am tired.	मैं थक गया हूँ।
I can swim.	मुझे तैरना आता है।
I can swim.	मैं तैर सकता हूँ।
I love you.	मैं तुमसे प्यार करती हूँ।
I love you.	मैं तुमसे प्यार करता हूँ।
I love you.	मैं आपसे प्यार करता हूँ।
I love you.	मैं आपसे प्यार करती हूँ।
I love you.	मुझे तुमसे प्यार है।
I will try.	मैं कोशिश करूँगा।
I'm coming.	मैं आ रहा हूँ।
I'm hungry!	मुझे भूख लगी है!
I'm hungry!	मुझे भूख लगी है।
Let him in.	उसे अंदर भेजो।
Let him in.	उसे अंगर आने दो।
Let me out!	मुझे बाहर जाने दो!
Once again.	और एक बार।
Please sit.	बैठिए।
What's new?	क्या नया है?
What's new?	नया क्या है?
Who's that?	वह कौन है?
Don't shout.	चिल्लाओ मत!
Don't shout.	चिल्लाईए मत।
He stood up.	वह खड़ा हो गया।
He's strong.	वह ताकतवर है।
How are you?	आप कैसे हैं?
How are you?	तुम कैसे हो?
How are you?	तुम कैसी हो?
How are you?	तू कैसा है?
How are you?	तू कैसी है?
How are you?	आप कैसी हैं?
How are you?	आप कैसे हो?
I am hungry.	मुझे भूख लगी है।
I like both.	मुझे दोनो पसंद हैं।
I like cake.	मुझे केक अच्छा लगता है।
I like dogs.	मुझे कुत्ते अच्छे लगते हैं।
I like math.	मुझे गणित पसंद है।
I'll attend.	मैं आऊंगा।
Nobody came.	कोई नहीं आया।
Was I wrong?	क्या मैं ग़लत था?
What's this?	यह क्या है?
Are you sick?	क्या तुम बीमार हो?
Bring him in.	उसको अंदर ले आओ।
Come with us.	हमारे साथ आओ।
Happy Easter!	एसटर मुबारक हो!
Has Tom left?	टॉम चला गया क्या?
He is French.	वह फ़्रानसीसी है।
I am at home.	मैं घर पर हूँ।
I can't move.	मैं हिल नहीं सकता।
I don't know.	मुझे नहीं पता।
I don't know.	मुझे नहीं मालूम।
I have a car.	मेरे पास एक गाड़ी है।
I have a dog.	मेरे पास एक कुत्ता है।
I understand.	मैं समझता हूँ।
I'm a doctor.	मैं डॉक्टर हूँ।
I'm starving!	मैं भूख से मरा जा रहा हूँ।
It is a book.	यह किताब है।
It's snowing.	बरफ़ गिर रही है।
It's too big.	बहुत ज़्यादा बड़ा है।
Please leave.	कृपया जाईये।
Unbelievable!	अविश्वसनीय!
We are happy.	हम खुश हैं।
What is this?	यह क्या है?
Are you tired?	थक गए हो क्या?
Can you drive?	तुम गाड़ी चला सकते हो क्या?
Don't get fat.	मोटे मत हो जाना।
Don't give in.	हार मत मान लो।
Drink it down.	पीकर खतम करदो।
Everyone dies.	मौत तो सभी की होती है।
Flowers bloom.	फूल खिलते हैं।
I am who I am.	मैं हूँ जो हूँ।
I'll take him.	मैं उसे लेलूँगा।
I'm tired now.	मैं अब थक गया हूँ।
I'm very busy.	मैं बहुत व्यस्थ हूँ।
Is that a cat?	वह बिल्ली है क्या?
It's for free.	यह मुफ़्त है।
It's for free.	यह मुफ़्त का है।
Let me try it.	मुझे दिखाओ।
Let me try it.	मुझे देखने दो।
Let me try it.	मुझे ट्राए करने दो।
Make it quick.	जल्दी कीजिए।
May I come in?	मैं अंदर आ सकता हूँ क्या?
Open the door.	दरवाज़ा खोलो।
Open the door.	दरवाज़ा खोलिए।
Please get in.	कृपया अंदर आईए।
Read it again.	इसे दोबारा पढ़ें।
Read it aloud.	पढ़के सुनाओ।
She bent down.	वह नीचे झुकी।
Some fish fly.	कुछ मछलियाँ उड़ सकतीं हैं।
This is a map.	यह नक्शा है।
Tom is my son.	टॉम मेरा लड़का है।
We're in town.	हम शहर में हैं।
Were you shot?	क्या तुम्हें गोली लग गई थी?
What about us?	हमारा क्या?
Can I help you?	क्या मैं आपकी सहायता कर सकता हूँ?
Can I help you?	क्या मैं आपकी मदद कर सकता हूँ?
Clean the room.	कमरे को साफ़ करो।
Don't touch it.	उसे छूना मत।
Get out of bed!	बिस्तर से बाहर निकलो!
Happy New Year!	नव वर्ष की शुभकामनाएं!
Happy New Year!	नए साल की बधाईयाँ।
Happy birthday!	जन्मदिन मुबारक हो!
He has a beard.	उसके पास दाढ़ी है।
He is an actor.	वह अभिनेता है।
He needs money.	उसे पैसों की ज़रूरत है।
He was hard up.	उसको पैसों की कमी थी।
I like history.	मुझे इतिहास पसंद है।
I like the dog.	मुझे यह कुत्ता अच्छा लगता है।
I must buy one.	मुझे एक तो खरीदना ही होगा।
I'll come back.	मैं वापस आऊँगा।
I'll phone you.	मैं तुम्हें फ़ोन करूँगा।
I'll stay home.	मैं घर पर ही रहूँगा।
I'm an atheist.	मैं अनीश्वरवादी हूँ।
I'm an atheist.	मैं भगवान में यकीन नहीं करता।
I'm very tired.	मैं बहुत थक गया हूँ।
It's hot today.	आज मौसम बहुत गरम है।
It's this book.	यह किताब है।
It's your move.	तुम्हारी चाल है।
Only God knows.	भगवान जाने।
Summer is over.	गर्मियाँ खतम हों चुकीं हैं।
Take your time.	आराम से आओ।
Think about it.	सोच लो।
This is a book.	यह एक किताब है।
This is a book.	यह किताब है।
This is my bag.	यह मेरा बस्ता है।
This is my dog.	यह मेरा कुत्ता है।
Wash your feet.	अपने पैर धोओ।
We study music.	हम संगीत की पढ़ाई करते हैं।
We'll call you.	हम आपको फ़ोन करेंगे।
We'll call you.	हम आपको बुलाएँगे।
Where were you?	तुम कहाँ थे?
Where were you?	आप कहाँ थे?
You have to go.	तुम्हें जाना होगा।
You look tired.	तुम थके-हारे से लगते हो।
You're kidding!	मज़ाक कर रहे हो!
A man must work.	एक आदमी के लिए काम करना ज़रूरी है।
Are you at home?	तुम घर पे हो क्या?
Are you guys OK?	क्या आप लोग ठीक हो?
Come home early.	जल्दी घर आजाओ।
Come if you can.	आ सको तो आना।
Congratulations!	बधाई हो!
Congratulations!	मुबारक हो!
Did he go there?	वह वहाँ गया क्या?
Did you miss me?	मेरी याद आई क्या?
Don't be absurd.	पागल मत बनो।
He came running.	वह भागते हुए आया।
He can't be ill.	वह बीमार नहीं हो सकता।
He has a hat on.	उसने टोपी पहनी हुई है।
He reads Arabic.	वह अरबी पढ़ सकता है।
He's my husband.	यह मेरा पति है।
How is everyone?	सब लोग कैसे हैं?
How is it going?	कैसा चल रहा है?
How old are you?	तुम कितने साल के हो?
How rude of you!	कितने बदतमीज़ हो तुम!
How rude of you!	बदतमीज़!
I cooked dinner.	मैंने रात का खाना पकाया।
I feel nauseous.	मुझे उल्टी आ रही है।
I go every year.	मैं हर साल जाता हूँ।
I heard a noise.	मुझे कोई आवाज़ सुनाई दी।
I like this one.	मुझे यह वाला पसंद है।
I run every day.	मैं रोज़ दौड़ने जाता हूँ।
I saw her again.	मैंने उसे फिरसे देखा।
I want a guitar.	मुझे गिटार चाहिए।
I was assaulted.	मुझपर हमला किया गया।
I'm a good cook.	मैं अच्छा रसोइया हूँ।
I'm a good cook.	मैं अच्छा बावर्ची हूँ।
I'm lucky today.	आज मेरा नसीब अच्छा है।
Is anybody here?	कोई है क्या?
Is it not black?	क्या यह काला नहीं है?
Is there a cafe?	यहाँ कैफ़े है क्या?
Let's fly kites.	चलो पतंग उड़ाएँ!
No, I didn't go.	नहीं, मैं नहीं गया था।
Nobody's around.	आसपास कोई नहीं है।
Now stop crying.	बस अब रोना बंद करो।
Open your mouth!	अपना मूँह खोलो!
Please sit down.	बैठिए।
She is a beauty.	वह तो हसीना है।
She talks a lot.	वह बहुत बोलती है।
She talks a lot.	वह बहुत बक-बक करती है।
That isn't fair.	यह तो ठीक नहीं है।
That's my fault.	वह मेरी गलती है।
The dog is mine.	कुत्ता मेरा है।
The power's out.	बिजली गई हुई है।
These are birds.	ये चिड़ियाँ हैं।
This is for you.	यह तुम्हारे लिए है।
We lack nothing.	हमे किसी भी चीज़ की कमी नहीं है।
We study Arabic.	हम अरबी पढ़तें हैं।
What time is it?	अभी कितने बजे हैं?
What time is it?	अभी क्या समय हो रहा है?
Where's my book?	मेरी किताब कहाँ है?
You startled me!	तुमने मुझे डरा दिया!
You're a person.	तुम इनसान हो।
Are you a doctor?	आप डॉक्टर हैं क्या?
Can you teach me?	क्या तुम मुझे सिखा सकते हो?
Climb to the top.	ऊपर तक चढ़ जाओ।
Come and join us.	आओ हमारे साथ बैठो।
Come sit with us.	आओ हमारे साथ बैठो।
Cut the potatoes.	आलूओं को काटो।
Do you have rice?	तुम्हारे पास चावल है क्या?
Don't make faces.	मूँह मत बनाओ।
Don't make noise.	शोर मत मचाओ।
Have a good time.	मज़े करो।
Have a nice time.	मज़े करो।
He has long legs.	उसके पैर लम्बे हैं।
He is her friend.	वह उसका दोस्त है।
He likes oranges.	उसे संत्रे अच्छे लगते हैं।
He likes oranges.	उसे नारंगी अच्छे लगते हैं।
He must love you.	वह तुमसे प्यार करता होगा।
He speaks Arabic.	वह अरबी बोलता है।
Here is your bag.	यह लो, तुम्हारा बस्ता।
I can't remember.	मुझे याद नहीं।
I don't know him.	मैं उसे नहीं जानता।
I have a problem.	मैं मुश्किल में हूँ।
I have to go now.	मुझे अभी जाना है।
I live near here.	मैं आस-पड़ोस में रहता हूँ।
I love my mother.	मैं अपनी माँ से प्यार करता हूँ
I must leave now.	मुझे अब जाना होगा।
I'm really tired.	मैं बहुत थक गया हूँ।
I'm very thirsty.	मुझे बहुत प्यास लगी है।
It's April first.	आज एक अप्रैल है।
It's now my turn.	अब मेरी बारी है।
Let me try again.	मै फिर से कोशिश करता हूँ।
